tamaño	tiempo	algoritmo	pc	optimización

200	0.00512731075287	heapsort	MacOSx	2

400	0.00508818864822	heapsort	MacOSx	2

600	0.00498534917831	heapsort	MacOSx	2

800	0.00475723028183	heapsort	MacOSx	2

1000	0.00469957113266	heapsort	MacOSx	2

1200	0.00472697019577	heapsort	MacOSx	2

1400	0.00477830886841	heapsort	MacOSx	2

1600	0.0048308300972	heapsort	MacOSx	2

1800	0.00484982013702	heapsort	MacOSx	2

2000	0.00481736183167	heapsort	MacOSx	2

2200	0.00483374118805	heapsort	MacOSx	2

2400	0.00496834993362	heapsort	MacOSx	2

2600	0.00491868019104	heapsort	MacOSx	2

2800	0.00488435983658	heapsort	MacOSx	2

3000	0.00493924856186	heapsort	MacOSx	2

3200	0.00491538047791	heapsort	MacOSx	2

3400	0.00501764059067	heapsort	MacOSx	2

3600	0.00491649866104	heapsort	MacOSx	2

3800	0.00502703905106	heapsort	MacOSx	2

4000	0.00506798028946	heapsort	MacOSx	2

4200	0.00487564086914	heapsort	MacOSx	2

4400	0.00490748882294	heapsort	MacOSx	2

4600	0.00503708124161	heapsort	MacOSx	2

4800	0.00507287025452	heapsort	MacOSx	2

5000	0.00505432128906	heapsort	MacOSx	2

5200	0.00505690097809	heapsort	MacOSx	2

5400	0.00505625963211	heapsort	MacOSx	2

5600	0.00507414102554	heapsort	MacOSx	2

5800	0.00516525030136	heapsort	MacOSx	2

6000	0.00517156124115	heapsort	MacOSx	2

6200	0.00513524055481	heapsort	MacOSx	2

6400	0.00514686107635	heapsort	MacOSx	2

6600	0.00509243011475	heapsort	MacOSx	2

6800	0.00522994041443	heapsort	MacOSx	2

7000	0.00519776105881	heapsort	MacOSx	2

7200	0.00524422168732	heapsort	MacOSx	2

7400	0.00548449039459	heapsort	MacOSx	2

7600	0.00519976139069	heapsort	MacOSx	2

7800	0.00517693996429	heapsort	MacOSx	2

8000	0.0057225394249	heapsort	MacOSx	2

8200	0.00549529075623	heapsort	MacOSx	2

8400	0.00541574001312	heapsort	MacOSx	2

8600	0.00532824993134	heapsort	MacOSx	2

8800	0.00535668849945	heapsort	MacOSx	2

9000	0.00539525032043	heapsort	MacOSx	2

9200	0.00542505025864	heapsort	MacOSx	2

9400	0.00540213108063	heapsort	MacOSx	2

9600	0.00549639940262	heapsort	MacOSx	2

9800	0.00557497024536	heapsort	MacOSx	2

10000	0.00552201986313	heapsort	MacOSx	2
