tamaño	tiempo	algoritmo	pc	optimización

200	0.00153164148331	heapsort	angel	2

400	0.00135545015335	heapsort	angel	2

600	0.00152218818665	heapsort	angel	2

800	0.00148864030838	heapsort	angel	2

1000	0.00152791023254	heapsort	angel	2

1200	0.00155043125153	heapsort	angel	2

1400	0.001578540802	heapsort	angel	2

1600	0.00157836914062	heapsort	angel	2

1800	0.0016459107399	heapsort	angel	2

2000	0.00168114185333	heapsort	angel	2

2200	0.00165904045105	heapsort	angel	2

2400	0.00173448085785	heapsort	angel	2

2600	0.0017649102211	heapsort	angel	2

2800	0.0017896604538	heapsort	angel	2

3000	0.00185164928436	heapsort	angel	2

3200	0.00185610055923	heapsort	angel	2

3400	0.00188377857208	heapsort	angel	2

3600	0.00197339057922	heapsort	angel	2

3800	0.0019421005249	heapsort	angel	2

4000	0.00201758861542	heapsort	angel	2

4200	0.00206199884415	heapsort	angel	2

4400	0.00206490039825	heapsort	angel	2

4600	0.0021390414238	heapsort	angel	2

4800	0.00214869976044	heapsort	angel	2

5000	0.00215949058533	heapsort	angel	2

5200	0.00226336956024	heapsort	angel	2

5400	0.00226606845856	heapsort	angel	2

5600	0.00230832099915	heapsort	angel	2

5800	0.00234198093414	heapsort	angel	2

6000	0.00237264871597	heapsort	angel	2

6200	0.00239627122879	heapsort	angel	2

6400	0.00241898775101	heapsort	angel	2

6600	0.0024658203125	heapsort	angel	2

6800	0.00248559951782	heapsort	angel	2

7000	0.00251410007477	heapsort	angel	2

7200	0.00258609056473	heapsort	angel	2

7400	0.00257659196854	heapsort	angel	2

7600	0.00263966083527	heapsort	angel	2

7800	0.00273729085922	heapsort	angel	2

8000	0.00271445035934	heapsort	angel	2

8200	0.00275285005569	heapsort	angel	2

8400	0.00276915788651	heapsort	angel	2

8600	0.00291785001755	heapsort	angel	2

8800	0.00286796092987	heapsort	angel	2

9000	0.00292973041534	heapsort	angel	2

9200	0.00296550989151	heapsort	angel	2

9400	0.00302391052246	heapsort	angel	2

9600	0.00301687955856	heapsort	angel	2

9800	0.00303125858307	heapsort	angel	2

10000	0.0030756688118	heapsort	angel	2
