tamaño	tiempo	algoritmo	pc	optimización

200	0.00674200057983	heapsort	MacOSx	No_Ordenado

400	0.00874590873718	heapsort	MacOSx	No_Ordenado

600	0.00844597816467	heapsort	MacOSx	No_Ordenado

800	0.0101540088654	heapsort	MacOSx	No_Ordenado

1000	0.0140669345856	heapsort	MacOSx	No_Ordenado

1200	0.0106709003448	heapsort	MacOSx	No_Ordenado

1400	0.00973200798035	heapsort	MacOSx	No_Ordenado

1600	0.0114829540253	heapsort	MacOSx	No_Ordenado

1800	0.0132551193237	heapsort	MacOSx	No_Ordenado

2000	0.0110998153687	heapsort	MacOSx	No_Ordenado

2200	0.0125508308411	heapsort	MacOSx	No_Ordenado

2400	0.00979089736938	heapsort	MacOSx	No_Ordenado

2600	0.00928401947021	heapsort	MacOSx	No_Ordenado

2800	0.0100100040436	heapsort	MacOSx	No_Ordenado

3000	0.0098021030426	heapsort	MacOSx	No_Ordenado

3200	0.0110580921173	heapsort	MacOSx	No_Ordenado

3400	0.00928020477295	heapsort	MacOSx	No_Ordenado

3600	0.0106389522552	heapsort	MacOSx	No_Ordenado

3800	0.0103690624237	heapsort	MacOSx	No_Ordenado

4000	0.00735211372375	heapsort	MacOSx	No_Ordenado

4200	0.0084490776062	heapsort	MacOSx	No_Ordenado

4400	0.00656986236572	heapsort	MacOSx	No_Ordenado

4600	0.00832986831665	heapsort	MacOSx	No_Ordenado

4800	0.00667285919189	heapsort	MacOSx	No_Ordenado

5000	0.00855898857117	heapsort	MacOSx	No_Ordenado

5200	0.00681114196777	heapsort	MacOSx	No_Ordenado

5400	0.00660109519958	heapsort	MacOSx	No_Ordenado

5600	0.00738406181335	heapsort	MacOSx	No_Ordenado

5800	0.00860190391541	heapsort	MacOSx	No_Ordenado

6000	0.00816488265991	heapsort	MacOSx	No_Ordenado

6200	0.00691986083984	heapsort	MacOSx	No_Ordenado

6400	0.0101029872894	heapsort	MacOSx	No_Ordenado

6600	0.0078341960907	heapsort	MacOSx	No_Ordenado

6800	0.009929895401	heapsort	MacOSx	No_Ordenado

7000	0.00827193260193	heapsort	MacOSx	No_Ordenado

7200	0.00792694091797	heapsort	MacOSx	No_Ordenado

7400	0.00700998306274	heapsort	MacOSx	No_Ordenado

7600	0.00912189483643	heapsort	MacOSx	No_Ordenado

7800	0.00744390487671	heapsort	MacOSx	No_Ordenado

8000	0.00891304016113	heapsort	MacOSx	No_Ordenado

8200	0.00710296630859	heapsort	MacOSx	No_Ordenado

8400	0.007239818573	heapsort	MacOSx	No_Ordenado

8600	0.00881600379944	heapsort	MacOSx	No_Ordenado

