tamaño	tiempo	algoritmo	pc	optimización

200	0.00737404823303	heapsort	MacOSx	Ordenado

400	0.00811100006104	heapsort	MacOSx	Ordenado

600	0.00939083099365	heapsort	MacOSx	Ordenado

800	0.00979280471802	heapsort	MacOSx	Ordenado

1000	0.010892868042	heapsort	MacOSx	Ordenado

1200	0.00827312469482	heapsort	MacOSx	Ordenado

1400	0.00998306274414	heapsort	MacOSx	Ordenado

1600	0.00999212265015	heapsort	MacOSx	Ordenado

1800	0.0119302272797	heapsort	MacOSx	Ordenado

2000	0.0121610164642	heapsort	MacOSx	Ordenado

2200	0.00862598419189	heapsort	MacOSx	Ordenado

2400	0.0108659267426	heapsort	MacOSx	Ordenado

2600	0.0107748508453	heapsort	MacOSx	Ordenado

2800	0.00898599624634	heapsort	MacOSx	Ordenado

3000	0.00744390487671	heapsort	MacOSx	Ordenado

3200	0.0091860294342	heapsort	MacOSx	Ordenado

3400	0.0104060173035	heapsort	MacOSx	Ordenado

3600	0.0101528167725	heapsort	MacOSx	Ordenado

3800	0.00890898704529	heapsort	MacOSx	Ordenado

4000	0.00922703742981	heapsort	MacOSx	Ordenado

4200	0.00816202163696	heapsort	MacOSx	Ordenado

4400	0.00979089736938	heapsort	MacOSx	Ordenado

4600	0.00724315643311	heapsort	MacOSx	Ordenado

4800	0.00825095176697	heapsort	MacOSx	Ordenado

5000	0.00667881965637	heapsort	MacOSx	Ordenado

5200	0.00650119781494	heapsort	MacOSx	Ordenado

5400	0.00686883926392	heapsort	MacOSx	Ordenado

5600	0.00799489021301	heapsort	MacOSx	Ordenado

5800	0.00891900062561	heapsort	MacOSx	Ordenado

6000	0.00679087638855	heapsort	MacOSx	Ordenado

6200	0.00659489631653	heapsort	MacOSx	Ordenado

6400	0.00665998458862	heapsort	MacOSx	Ordenado

6600	0.00741600990295	heapsort	MacOSx	Ordenado

6800	0.00813317298889	heapsort	MacOSx	Ordenado

7000	0.00742411613464	heapsort	MacOSx	Ordenado

7200	0.010773897171	heapsort	MacOSx	Ordenado

7400	0.00874590873718	heapsort	MacOSx	Ordenado

7600	0.00882291793823	heapsort	MacOSx	Ordenado

7800	0.0101590156555	heapsort	MacOSx	Ordenado

8000	0.00692176818848	heapsort	MacOSx	Ordenado

8200	0.00702500343323	heapsort	MacOSx	Ordenado

8400	0.00702309608459	heapsort	MacOSx	Ordenado

8600	0.00848197937012	heapsort	MacOSx	Ordenado

8800	0.00723600387573	heapsort	MacOSx	Ordenado

9000	0.00759816169739	heapsort	MacOSx	Ordenado

9200	0.00821495056152	heapsort	MacOSx	Ordenado

9400	0.00807785987854	heapsort	MacOSx	Ordenado

9600	0.0087468624115	heapsort	MacOSx	Ordenado

9800	0.00852513313293	heapsort	MacOSx	Ordenado

10000	0.0102820396423	heapsort	MacOSx	Ordenado
