tamaño	tiempo	algoritmo	pc	optimización

200	0.00604891777039	quicksort	MacOSx	No_Ordenado

400	0.00621294975281	quicksort	MacOSx	No_Ordenado

600	0.00970005989075	quicksort	MacOSx	No_Ordenado

800	0.00795102119446	quicksort	MacOSx	No_Ordenado

1000	0.00954699516296	quicksort	MacOSx	No_Ordenado

1200	0.00910091400146	quicksort	MacOSx	No_Ordenado

1400	0.00919818878174	quicksort	MacOSx	No_Ordenado

1600	0.00821614265442	quicksort	MacOSx	No_Ordenado

1800	0.00991201400757	quicksort	MacOSx	No_Ordenado

2000	0.00964188575745	quicksort	MacOSx	No_Ordenado

2200	0.0070469379425	quicksort	MacOSx	No_Ordenado

2400	0.0098659992218	quicksort	MacOSx	No_Ordenado

2600	0.0102860927582	quicksort	MacOSx	No_Ordenado

2800	0.00952386856079	quicksort	MacOSx	No_Ordenado

3000	0.0076060295105	quicksort	MacOSx	No_Ordenado

3200	0.00959801673889	quicksort	MacOSx	No_Ordenado

3400	0.0102579593658	quicksort	MacOSx	No_Ordenado

3600	0.0107119083405	quicksort	MacOSx	No_Ordenado

3800	0.00700998306274	quicksort	MacOSx	No_Ordenado

4000	0.00660991668701	quicksort	MacOSx	No_Ordenado

4200	0.00631308555603	quicksort	MacOSx	No_Ordenado

4400	0.00688004493713	quicksort	MacOSx	No_Ordenado

4600	0.0076220035553	quicksort	MacOSx	No_Ordenado

4800	0.00769209861755	quicksort	MacOSx	No_Ordenado

5000	0.00865507125854	quicksort	MacOSx	No_Ordenado

5200	0.00634598731995	quicksort	MacOSx	No_Ordenado

5400	0.00859498977661	quicksort	MacOSx	No_Ordenado

5600	0.0076789855957	quicksort	MacOSx	No_Ordenado

5800	0.00789308547974	quicksort	MacOSx	No_Ordenado

6000	0.00644207000732	quicksort	MacOSx	No_Ordenado

6200	0.00647187232971	quicksort	MacOSx	No_Ordenado

6400	0.0065438747406	quicksort	MacOSx	No_Ordenado

6600	0.00719976425171	quicksort	MacOSx	No_Ordenado

6800	0.00758385658264	quicksort	MacOSx	No_Ordenado

7000	0.0065290927887	quicksort	MacOSx	No_Ordenado

7200	0.00844216346741	quicksort	MacOSx	No_Ordenado

7400	0.0069739818573	quicksort	MacOSx	No_Ordenado

7600	0.00865793228149	quicksort	MacOSx	No_Ordenado

7800	0.00704216957092	quicksort	MacOSx	No_Ordenado

8000	0.010302066803	quicksort	MacOSx	No_Ordenado

8200	0.00679397583008	quicksort	MacOSx	No_Ordenado

8400	0.00884199142456	quicksort	MacOSx	No_Ordenado

8600	0.00848698616028	quicksort	MacOSx	No_Ordenado

8800	0.00897097587585	quicksort	MacOSx	No_Ordenado

9000	0.00681591033936	quicksort	MacOSx	No_Ordenado

9200	0.00674390792847	quicksort	MacOSx	No_Ordenado

9400	0.00749897956848	quicksort	MacOSx	No_Ordenado

9600	0.00794219970703	quicksort	MacOSx	No_Ordenado

9800	0.00930881500244	quicksort	MacOSx	No_Ordenado

10000	0.00916194915771	quicksort	MacOSx	No_Ordenado
