tamaño	tiempo

1	0.0231518745422

2	0.00154399871826

3	0.00280499458313

4	0.00708293914795

5	0.00167393684387

6	0.00176286697388

7	0.00461006164551

8	0.0033118724823

9	0.00559711456299

10	0.0104658603668

11	0.00850009918213

12	0.010833978653

13	0.0179100036621

14	0.0232758522034

15	0.0299971103668

16	0.0532131195068

17	0.0850520133972

18	0.133406162262

19	0.317016124725

20	0.389178991318

21	0.822937011719

22	1.49922585487

23	2.89916491508

24	5.82237696648

25	11.7034809589

3	0.00395607948303

4	0.00802898406982

5	0.00779986381531

6	0.00536417961121

7	0.00170111656189

8	0.00510716438293

9	0.00191807746887

10	0.00626111030579

11	0.0107538700104

12	0.00864696502686

13	0.00830292701721

14	0.0161221027374

15	0.0291299819946

16	0.0843398571014

17	0.120184898376

18	0.140797138214

19	0.267557859421

20	0.3850710392

21	0.928508043289

22	1.60555791855

23	3.06807518005

24	5.88770294189

25	11.9567000866

26	23.2508411407

27	45.1054317951

28	94.570581913
