algoritmo	tamaño	tiempo
Divide_y_venceras	0	2e-06
Divide_y_venceras	2000	0.000377
Divide_y_venceras	4000	0.000692
Divide_y_venceras	6000	0.000998
Divide_y_venceras	8000	0.001221
Divide_y_venceras	10000	0.001592
Divide_y_venceras	12000	0.002063
Divide_y_venceras	14000	0.002241
Divide_y_venceras	16000	0.002574
Divide_y_venceras	18000	0.002932
Divide_y_venceras	20000	0.003262
Divide_y_venceras	22000	0.003785
Divide_y_venceras	24000	0.003973
Divide_y_venceras	26000	0.004387
Divide_y_venceras	28000	0.004731
Divide_y_venceras	30000	0.005302
Divide_y_venceras	32000	0.005553
Divide_y_venceras	34000	0.005864
Divide_y_venceras	36000	0.006229
Divide_y_venceras	38000	0.006594
Divide_y_venceras	40000	0.006991
Divide_y_venceras	42000	0.007314
Divide_y_venceras	44000	0.007736
Divide_y_venceras	46000	0.008158
Divide_y_venceras	48000	0.0105
Divide_y_venceras	50000	0.009038
